,car_model,hp_kW,Displacement_cc,km,age,Gearing_Type,cons_comb,price
0,Audi A1,66.0,1422.0,56013.0,3.0,Automatic,3.8,15770
1,Audi A1,141.0,1798.0,80000.0,2.0,Automatic,5.6,14500
2,Audi A1,85.0,1598.0,83450.0,3.0,Automatic,3.8,14640
3,Audi A1,66.0,1422.0,73000.0,3.0,Automatic,3.8,14500
4,Audi A1,66.0,1422.0,16200.0,3.0,Automatic,4.1,16790
5,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
6,Audi A1,85.0,1598.0,62111.0,3.0,Automatic,3.7,16422
7,Audi A1,66.0,1422.0,14986.0,3.0,Automatic,3.7,14480
8,Audi A1,85.0,1598.0,57000.0,3.0,Automatic,3.7,16700
9,Audi A1,70.0,999.0,16103.0,2.0,Automatic,4.6,17990
10,Audi A1,85.0,1598.0,11300.0,1.0,Automatic,4.0,18500
11,Audi A1,92.0,1395.0,26415.0,3.0,Automatic,4.9,17990
12,Audi A1,92.0,1395.0,31600.0,3.0,Automatic,4.9,18380
13,Audi A1,112.0,1395.0,45764.0,3.0,Automatic,4.6,18399
14,Audi A1,70.0,999.0,34914.0,3.0,Automatic,4.2,17990
15,Audi A1,85.0,1598.0,27000.0,3.0,Automatic,3.7,18700
16,Audi A1,85.0,1598.0,9752.0,1.0,Automatic,3.5,18900
17,Audi A1,66.0,1422.0,28408.0,2.0,Automatic,3.8,18500
18,Audi A1,70.0,999.0,50280.0,3.0,Automatic,4.5,18400
19,Audi A1,85.0,1598.0,13406.0,1.0,Automatic,3.8,18500
20,Audi A1,85.0,1598.0,51160.0,2.0,Automatic,4.0,18500
21,Audi A1,92.0,1395.0,15850.0,3.0,Automatic,4.9,18500
22,Audi A1,92.0,1395.0,17000.0,3.0,Automatic,4.9,18900
23,Audi A1,85.0,1598.0,9077.0,1.0,Automatic,3.7,18850
24,Audi A1,70.0,999.0,3000.0,1.0,Automatic,4.4,18500
25,Audi A1,70.0,999.0,115000.0,3.0,Manual,4.2,8999
26,Audi A1,70.0,999.0,84029.0,3.0,Manual,4.2,11444
27,Audi A1,70.0,999.0,67800.0,3.0,Manual,4.2,11300
28,Audi A1,66.0,1422.0,14556.0,1.0,Automatic,4.3,18900
29,Audi A1,70.0,999.0,22000.0,3.0,Manual,4.4,11290
30,Audi A1,66.0,1422.0,38400.0,3.0,Manual,3.0,11290
31,Audi A1,66.0,1422.0,83307.0,3.0,Manual,3.6,11440
32,Audi A1,70.0,999.0,39668.0,3.0,Manual,4.4,11445
33,Audi A1,66.0,1422.0,30353.0,3.0,Manual,3.7,11700
34,Audi A1,66.0,1422.0,126000.0,3.0,Manual,3.7,11900
35,Audi A1,70.0,999.0,57500.0,3.0,Manual,4.4,11949
36,Audi A1,70.0,999.0,73945.0,3.0,Manual,4.4,11890
37,Audi A1,66.0,1422.0,96000.0,2.0,Manual,3.7,11600
38,Audi A1,60.0,999.0,43120.0,3.0,Manual,4.2,11900
39,Audi A1,66.0,1422.0,110715.0,3.0,Manual,3.9,11630
40,Audi A1,60.0,999.0,31971.0,3.0,Manual,4.4,11880
41,Audi A1,66.0,1422.0,94800.0,3.0,Manual,3.4,11800
42,Audi A1,66.0,1422.0,85000.0,3.0,Manual,3.4,11850
43,Audi A1,66.0,1422.0,111265.0,3.0,Manual,3.9,11569
44,Audi A1,66.0,1422.0,44120.0,3.0,Manual,3.6,11490
45,Audi A1,70.0,999.0,97976.0,3.0,Manual,4.2,11490
46,Audi A1,66.0,1422.0,106000.0,3.0,Manual,3.7,11500
47,Audi A1,85.0,1598.0,60000.0,3.0,Manual,3.7,11790
48,Audi A1,60.0,999.0,58000.0,3.0,Manual,4.4,11490
49,Audi A1,60.0,999.0,57454.0,3.0,Manual,4.4,11470
50,Audi A1,66.0,1422.0,94055.0,3.0,Manual,3.9,11480
51,Audi A1,70.0,999.0,56000.0,3.0,Manual,4.2,11180
52,Audi A1,70.0,999.0,27600.0,3.0,Manual,4.2,11450
53,Audi A1,85.0,1598.0,111670.0,3.0,Manual,3.0,11100
54,Audi A1,66.0,1422.0,30500.0,3.0,Manual,3.8,10900
